zeroin.i.1.col,3,49
jean.col,0,10
queen13_13.col,2,23
DSJC500.9.col,94,169
queen8_12.col,1,15
school1_nsh.col,10,34
DSJR500.1.col,26,13
queen7_7.col,2,12
DSJR500.1c.col,99,100
DSJC500.1.col,10,18
miles250.col,1,8
myciel7.col,1,8
queen9_9.col,1,15
queen14_14.col,4,25
DSJC1000.9.col,438,313
le450_15a.col,17,18
le450_15b.col,5,18
mulsol.i.3.col,2,31
queen5_5.col,0,7
myciel5.col,1,6
flat300_26_0.col,13,45
queen10_10.col,0,17
zeroin.i.3.col,2,30
miles500.col,1,20
homer.col,3,13
queen15_15.col,8,25
mulsol.i.2.col,4,31
miles1000.col,3,43
zeroin.i.2.col,2,30
school1.col,15,32
myciel6.col,0,7
fpsol2.i.3.col,12,30
le450_25a.col,18,26
DSJC125.9.col,3,53
queen12_12.col,2,19
le450_15c.col,17,26
mulsol.i.1.col,2,49
DSJR500.5.col,105,134
DSJC125.1.col,0,7
myciel3.col,0,4
flat300_20_0.col,10,44
le450_25b.col,12,25
inithx.i.3.col,13,31
fpsol2.i.2.col,4,30
le450_15d.col,15,26
games120.col,0,9
DSJC500.5.col,36,71
flat1000_60_0.col,197,121
le450_5a.col,3,11
flat1000_50_0.col,319,123
myciel4.col,0,5
fpsol2.i.1.col,7,65
miles750.col,2,32
anna.col,1,11
mulsol.i.4.col,2,31
DSJC1000.1.col,47,29
le450_25c.col,12,29
queen8_8.col,1,13
inithx.i.2.col,8,31
huck.col,0,11
le450_5b.col,5,12
le450_25d.col,13,30
DSJC1000.5.col,185,121
inithx.i.1.col,19,54
le450_5c.col,6,12
DSJC250.1.col,2,11
queen6_6.col,0,9
miles1500.col,6,73
david.col,1,11
queen11_11.col,3,17
flat300_28_0.col,85,45
le450_5d.col,7,14
mulsol.i.5.col,3,31
flat1000_76_0.col,277,123
queen16_16.col,7,27
DSJC125.5.col,3,23
