Fichier,Temps,Nombre de couleurs
zeroin.i.1.col,2,49
jean.col,0,10
queen13_13.col,87,15
DSJC500.9.col,27554,164
queen8_12.col,655,12
school1_nsh.col,6108,17
DSJR500.1.col,23,12
queen7_7.col,169,7
DSJR500.1c.col,107,94
DSJC500.1.col,19,15
miles250.col,1,8
myciel7.col,1,8
queen9_9.col,44,11
queen14_14.col,641,17
DSJC1000.9.col,25646,300
le450_15a.col,18532,15
le450_15b.col,12,16
mulsol.i.3.col,2,31
queen5_5.col,1,5
myciel5.col,1,6
flat300_26_0.col,1342,40
queen10_10.col,48,12
zeroin.i.3.col,2,30
miles500.col,1,20
homer.col,6,13
queen15_15.col,11,18
mulsol.i.2.col,2,31
miles1000.col,2,42
zeroin.i.2.col,1,30
school1.col,10,14
myciel6.col,1,7
fpsol2.i.3.col,8,30
le450_25a.col,6,25
DSJC125.9.col,3,51
queen12_12.col,15259,14
le450_15c.col,147,22
mulsol.i.1.col,1,49
DSJR500.5.col,3453,128
DSJC125.1.col,15,5
myciel3.col,0,4
flat300_20_0.col,330,40
le450_25b.col,11,25
inithx.i.3.col,10,31
fpsol2.i.2.col,6,30
le450_15d.col,39,23
games120.col,1,9
DSJC500.5.col,130,64
flat1000_60_0.col,1620,112
le450_5a.col,172,8
flat1000_50_0.col,593,113
myciel4.col,1,5
fpsol2.i.1.col,7,65
miles750.col,2,31
anna.col,1,11
mulsol.i.4.col,2,31
DSJC1000.1.col,4761,25
le450_25c.col,64,27
queen8_8.col,1895,9
inithx.i.2.col,11,31
huck.col,0,11
le450_5b.col,18623,8
le450_25d.col,108,27
DSJC1000.5.col,19343,113
inithx.i.1.col,22,54
le450_5c.col,30593,5
DSJC250.1.col,81,9
queen6_6.col,27,7
miles1500.col,3,73
david.col,0,11
queen11_11.col,2085,13
flat300_28_0.col,2439,38
le450_5d.col,18443,5
mulsol.i.5.col,2,31
flat1000_76_0.col,566,115
queen16_16.col,29,19
DSJC125.5.col,32112,20
