zeroin.i.1.col,43,49
jean.col,2,11
queen13_13.col,37,19
DSJC500.9.col,4689,168
queen8_12.col,6,16
school1_nsh.col,199,18
DSJR500.1.col,92,16
queen7_7.col,2,11
DSJR500.1c.col,3742,92
DSJC500.1.col,49,20
miles250.col,1,9
myciel7.col,6,9
queen9_9.col,4,15
queen14_14.col,37,22
DSJC1000.9.col,55779,316
le450_15a.col,60,25
le450_15b.col,54,24
mulsol.i.3.col,16,33
queen5_5.col,1,5
myciel5.col,0,6
flat300_26_0.col,190,48
queen10_10.col,6,16
zeroin.i.3.col,28,32
miles500.col,10,20
homer.col,95,13
queen15_15.col,77,24
mulsol.i.2.col,17,33
miles1000.col,65,44
zeroin.i.2.col,29,32
school1.col,275,16
myciel6.col,1,8
fpsol2.i.3.col,71,35
le450_25a.col,97,30
DSJC125.9.col,38,55
queen12_12.col,17,19
le450_15c.col,160,34
mulsol.i.1.col,26,49
DSJR500.5.col,2218,141
DSJC125.1.col,1,9
myciel3.col,0,4
flat300_20_0.col,187,47
le450_25b.col,78,30
inithx.i.3.col,255,35
fpsol2.i.2.col,103,35
le450_15d.col,142,33
games120.col,2,10
DSJC500.5.col,1028,73
flat1000_60_0.col,9050,124
le450_5a.col,20,14
flat1000_50_0.col,8982,125
myciel4.col,1,5
fpsol2.i.1.col,291,65
miles750.col,34,32
anna.col,6,11
mulsol.i.4.col,51,33
DSJC1000.1.col,401,33
le450_25c.col,192,39
queen8_8.col,3,13
inithx.i.2.col,251,35
huck.col,4,11
le450_5b.col,28,15
le450_25d.col,200,40
DSJC1000.5.col,9720,124
inithx.i.1.col,645,54
le450_5c.col,36,15
DSJC250.1.col,8,15
queen6_6.col,2,10
miles1500.col,154,73
david.col,15,11
queen11_11.col,10,19
flat300_28_0.col,595,47
le450_5d.col,34,15
mulsol.i.5.col,16,32
flat1000_76_0.col,9246,125
queen16_16.col,69,26
DSJC125.5.col,12,25
